key,value
severity_0_unburned,74714.74104486108
severity_1_low,11884.029711736643
severity_2_modlow,2647.0001980856887
severity_3_modhigh,1680.9034690587032
severity_4_high,1457.1394644844056
burned_total_ha,17669.07284336544
